Időbélyeg;Pontszám;"1.	A formális verifikáció egyik fajtája, a modellellenőrzés";"2.	A folyamatmodell";"3.	A tesztfedettség";"4.	A tesztkészlet ";"5.	Ha adott 101 adatpont, amelyből 100 egymáshoz közeli értékű és 1 nagymértékben kiugró (extreme outlier) adatpontunk van, akkor ";"6.	Ha a diagramon ábrázolt változókat tekintve több adatpont egybeesik, akkor az overplotting probléma";"7.	Ha ismert az egyensúlyi helyzetben lévő folyamat átlagos végrehajtási ideje és az egyszerre végrehajtás alatt álló folyamatpéldányok átlagos száma, akkor";"8.	A fájlszerver egyensúlyi helyzetében lévő teljesítménymodelljében";"9.	Egy teljesítménymodellben előfordulhat, hogy egy részfolyamat";"10.	A kódgenerátor"
5.17.2017 7:54:22;0;;;;;;;;;;
5.17.2017 9:45:39;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett., d) lehet egyszerre jólstrukturált és nemdeterminisztikus.;a) mindig 0 és 1 közé eső szám., a tesztelt rendszer által sikeresen teljesített tesztek arányszámával egyezik., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 10:28:50;0;;;;;;;;;;
5.17.2017 10:36:47;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett., d) lehet egyszerre jólstrukturált és nemdeterminisztikus.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 10:55:33;0;a) alkalmazható viselkedésmodellek esetén;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;b) az átbocsátási ráta és az átlagos végrehajtási idő szorzata mindig 1.;b) vizitációs száma 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 10:58:51;0;b) hátránya, hogy soha nem tud ellenpéldát adni, c) előnye, hogy a tesztelésnél általában kisebb számításigényű;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett.;a tesztorákulum hatékonyságát jellemzi., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;d) csak olyan követelményt ellenőrizhet, amelyik minden adott inputsorozat esetén kizárólag egy kimeneti szekvenciát fogad el.;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), d) például a hisztogram bin (intervallum) szélességének megfelelő megválasztásával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;c) az egyszerre végrehajtás alatt álló folyamatpéldányok száma átlagosan 1.;b) vizitációs száma 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 11:09:49;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett., d) lehet egyszerre jólstrukturált és nemdeterminisztikus.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;d) csak olyan követelményt ellenőrizhet, amelyik minden adott inputsorozat esetén kizárólag egy kimeneti szekvenciát fogad el.;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1., b) az átbocsátási ráta és az átlagos végrehajtási idő szorzata mindig 1.;b) vizitációs száma 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 11:37:03;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett., d) lehet egyszerre jólstrukturált és nemdeterminisztikus.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;b) vizitációs száma 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 11:38:25;0;;;;d) csak olyan követelményt ellenőrizhet, amelyik minden adott inputsorozat esetén kizárólag egy kimeneti szekvenciát fogad el.;;;;;;
5.17.2017 11:45:10;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett., d) lehet egyszerre jólstrukturált és nemdeterminisztikus.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;d) csak olyan követelményt ellenőrizhet, amelyik minden adott inputsorozat esetén kizárólag egy kimeneti szekvenciát fogad el.;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető, d) például a hisztogram bin (intervallum) szélességének megfelelő megválasztásával elkerülhető;b) felső becslés adható a folyamat átbocsátóképességére, d) meghatározható a kihasználtság;b) az átbocsátási ráta és az átlagos végrehajtási idő szorzata mindig 1.;b) vizitációs száma 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 11:47:14;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;a) mindig egyetlen inputsorozatból áll.;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram);a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 11:53:23;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;d) csak olyan követelményt ellenőrizhet, amelyik minden adott inputsorozat esetén kizárólag egy kimeneti szekvenciát fogad el.;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére;b) az átbocsátási ráta és az átlagos végrehajtási idő szorzata mindig 1.;d) kihasználtsága 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 11:58:27;0;b) hátránya, hogy soha nem tud ellenpéldát adni;c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett., d) lehet egyszerre jólstrukturált és nemdeterminisztikus.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;a) mindig egyetlen inputsorozatból áll.;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, b) felső becslés adható a folyamat átbocsátóképességére, d) meghatározható a kihasználtság;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;b) vizitációs száma 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
5.17.2017 11:59:09;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;;a) célja, hogy a modell helyességét statikus elemzéssel vizsgálja.
5.17.2017 12:02:01;0;;;;;;;;;;
5.17.2017 12:18:22;0;a) alkalmazható viselkedésmodellek esetén, d) előnye, hogy lehetséges viselkedéseket kimerítően elemzi;a) valamely döntési (decision) csomópontját elhagyó vezérlési élek őrfeltételhez köthetőek, a) teljesen specifikált, ha minden döntésnél legalább egy kimenő vezérlési él engedélyezett., c) determinisztikus, ha minden döntésnél legfeljebb egy kimenő vezérlési él engedélyezett., d) lehet egyszerre jólstrukturált és nemdeterminisztikus.;a) mindig 0 és 1 közé eső szám., azt jellemzi, hogy a tesztelt rendszer adott modelljének mekkora részét próbálja ki legalább egyszer a tesztkészlet.;;a) a medián érzéketlen arra, hogy mennyire nagy a kiugró érték, c) a módusz (feltéve hogy egyértelmű) érzéketlen arra, hogy mennyire nagy a kiugró érték;b) nehezen értelmezhetővé teheti a scatterplotot (pontfelhő / pont-pont diagram), c) például átlátszóság használatával elkerülhető;a) alsó becslés adható a folyamat átbocsátóképességére, c) meghatározható az érkezési ráta;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;d) kihasználtsága 1-nél nagyobb.;b) szövegfájlként képes program forráskódját előállítani.
