Időbélyeg;Pontszám;A modell és a valóság között különbség, hogy;"1.	Ha M1 állapotmodell finomítja M2 állapotmodellt, akkor";"3.	Legyen S egy állapottér, és S' egy tetszőleges állapothalmaz. Ekkor…";"4.	Egy állapotgép biztosan nemdeterminisztikus, ha";"1.	Ha az egyik állapotrégió 5 állapotot és 10 átmenetet, a másik régió 6 állapotot és 16 átmenetet tartalmaz, akkor az aszinkron szorzatukként számolt állapotgép további finomítás híján…";"1.	Mi lehet a strukturális modellezés célja? ";"7.	A fa tulajdonságú gráf…";"8.	Mely állítások igazak az alábbiak közül?";"9.	Egy folyamat biztosan jólstrukturált, ha…"
5.17.2017 1:27:38;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;;;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., c) egy állapotból nem minden lehetséges eseményre definiált az átmenet., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;;a) …élcímkére szűrve is egy vagy több fa marad.;;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 8:24:16;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is.;;;;;;;;
5.17.2017 9:51:45;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;;;;;;;
5.17.2017 9:59:27;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva.;d) … 8-cal osztható számú átmenetet tartalmaz.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 10:26:42;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;;;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad., d) …típusgráfja nem tartalmazhat hurokélet.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;
5.17.2017 10:27:45;0;;;;;;;;a) Az objektum-orientált programozásban használt objektumoknak megfeleltethető a típusgráf egy-egy csomópontja.;
5.17.2017 10:33:25;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;;b) … mindenképpen fog őrfeltételeket tartalmazni.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 10:41:13;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;a) egy állapotból több eseményre ugyanabba az állapotba megy a gép., c) egy állapotból nem minden lehetséges eseményre definiált az átmenet.;a) …mindenképpen determinisztikus lesz., b) … mindenképpen fog őrfeltételeket tartalmazni.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 10:41:36;0;;;;;;;;;
5.17.2017 11:04:09;0;a) a valóság egy egyszerűsített képe a modellnek., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;a) M2 több információt tartalmaz, mint M1., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva.;b) … mindenképpen fog őrfeltételeket tartalmazni.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;
5.17.2017 11:05:50;0;;;;;;;;;
5.17.2017 11:08:29;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos, c) …S ? S' biztosan teljes;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 11:12:42;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;d) … 8-cal osztható számú átmenetet tartalmaz.;d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., a) Az objektum-orientált programozásban használt objektumoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 11:24:17;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., a) Az objektum-orientált programozásban használt objektumoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 11:35:08;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;
5.17.2017 12:00:23;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;a) egy állapotból több eseményre ugyanabba az állapotba megy a gép.;a) …mindenképpen determinisztikus lesz.;b) A rendszer kisebb részekre bontása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;a) A típusgráfok a tulajdonságmodellek időbeli változását írják le., a) Az objektum-orientált programozásban használt objektumoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 12:01:27;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan teljes;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., c) egy állapotból nem minden lehetséges eseményre definiált az átmenet.;b) … mindenképpen fog őrfeltételeket tartalmazni.;c) A rendszer dinamikus viselkedésének vizsgálata., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;a) … nem tartalmaz őrfeltételt.
5.17.2017 12:07:26;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos, c) …S ? S' biztosan teljes;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 12:17:18;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos, d) …ha S' is egy állapottér, akkor S ? S' = ? vagy S=S’.;;b) … mindenképpen fog őrfeltételeket tartalmazni.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 12:50:26;0;;;;;;;;;
5.17.2017 12:50:27;0;;;;;;;;;
5.17.2017 13:05:06;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;c) … kevesebb, mint 100 átmenetet tartalmaz.;c) A rendszer dinamikus viselkedésének vizsgálata., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., a) Az objektum-orientált programozásban használt objektumoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 13:24:35;0;a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 13:25:38;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;d) … 8-cal osztható számú átmenetet tartalmaz.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
