Időbélyeg;Pontszám;"1.	A modell…";"2.	A strukturális dekompozíció…";"3.	A struktúramodelleknek tipikus célja...";"4.	IT rendszer modelljének állapottere… ";"1.	Egy állapotgép biztosan determinisztikus, ha… ";"6.	Két komponens állapotgép aszinkron szorzata…";"7.	Általánosan egy viselkedésmodell…";"8.	Folyamatmodellek esetén…";"9.	A jólstrukturált folyamatmodellek…";"10.	A folyamatmodell döntési (decision) elágazásainál…"
5.17.2017 1:20:11;0;b) …nem mindig foglalkozik az egész modellezett rendszerrel, hanem csak egy ré-szével., a) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …lehet fizikai vagy logikai., a) …mindig növeli a modellelemek számát.;;b) … mindig kizárólagos és teljes., d) …tipikusan diszkrét.;;b) …maga is állapotgép.;b) …feladata, hogy a rendszer működését, változását leírja.;a) …az elemi tevékenységek időbeli kiterjedéssel rendelkeznek., b) …az elemi tevékenységek lefolyását, belső lépéseit (az adott folyamatmodellben) nem modellezzük., c) …ciklusokat decision és merge vezérlési elemekkel tudunk létrehozni.;a) …tipikusan áttekinthetőbbek, de nem csak jólstrukturált modell lehet helyes., d) …pontosan egy belépési és egy kilépési ponttal rendelkeznek.;b) …az egyes döntési ágakon tetszőleges számú lépés következhet., a) …a döntés után pontosan egy ág kerül végrehajtásra., d) …a döntési ágaknak egy befejezési (Flow End) csomópontban be kell várniuk egy-mást.
5.17.2017 9:31:29;0;;;;;;;;;;
5.17.2017 10:08:02;0;b) …nem mindig foglalkozik az egész modellezett rendszerrel, hanem csak egy ré-szével., a) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …egy rendszer részekre bontása az állapotátmeneti reláció szerint., a) …lehet fizikai vagy logikai., a) …mindig növeli a modellelemek számát., d) …egyfajta finomítás.;a) ...hogy a rendszer belső felépítését leírják., d) ...hogy a rendszert alkotó elemek jellemzőit és viszonyait leírják.;a) …mindig legalább egy állapotból áll., c) … mindig véges méretű., d) …tipikusan diszkrét.;b) …nem tartalmaz spontán átmenetet.;a) …absztrakcióval visszavetíthető az egyik komponens állapotgépre., b) …maga is állapotgép.;b) …feladata, hogy a rendszer működését, változását leírja.;a) …az elemi tevékenységek időbeli kiterjedéssel rendelkeznek., b) …az elemi tevékenységek lefolyását, belső lépéseit (az adott folyamatmodellben) nem modellezzük., d) …a fork és join vezérlési elemekkel több végrehajtható ág közül lehet egyet válasz-tani.;d) …pontosan egy belépési és egy kilépési ponttal rendelkeznek.;a) …a döntés után pontosan egy ág kerül végrehajtásra.
5.17.2017 10:39:08;0;a) …mindig egy tervezés alatt álló rendszerről szól, sosem a létező valóságról., b) …nem mindig foglalkozik az egész modellezett rendszerrel, hanem csak egy ré-szével., a) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …egy rendszer részekre bontása az állapotátmeneti reláció szerint., a) …lehet fizikai vagy logikai., a) …mindig növeli a modellelemek számát., d) …egyfajta finomítás.;a) ...hogy a rendszer belső felépítését leírják., d) ...hogy a rendszert alkotó elemek jellemzőit és viszonyait leírják.;c) … mindig véges méretű., d) …tipikusan diszkrét.;a) …nem tartalmaz párhuzamos régiókat.;a) …absztrakcióval visszavetíthető az egyik komponens állapotgépre., b) …maga is állapotgép., c) …nem lehet determinisztikus, mert mindkét komponens állapotgép válthat állapotot., d) …olyan állapotátmeneteket tartalmaz, amelyek során mindig mindkét komponens ál-lapotgépben is végrehajtódik egy-egy átmenet.;a) …alatt mindig állapotgépet értünk., b) …feladata, hogy a rendszer működését, változását leírja.;a) …az elemi tevékenységek időbeli kiterjedéssel rendelkeznek., c) …ciklusokat decision és merge vezérlési elemekkel tudunk létrehozni.;a) …tipikusan áttekinthetőbbek, de nem csak jólstrukturált modell lehet helyes., c) …pontosan azon programoknak felelnek meg, amelyek nem rekurzívak., d) …pontosan egy belépési és egy kilépési ponttal rendelkeznek.;a) …a kimenő élekre írt őrfeltételek elsődleges célja, hogy másik folyamatmodellel szinkronizálni lehessen (randevú)., a) …a döntés után pontosan egy ág kerül végrehajtásra.
5.17.2017 10:41:39;0;;;;;;;;;;
5.17.2017 10:47:53;0;b) …nem mindig foglalkozik az egész modellezett rendszerrel, hanem csak egy ré-szével., a) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …egy rendszer részekre bontása az állapotátmeneti reláció szerint., a) …lehet fizikai vagy logikai.;a) ...hogy a rendszer belső felépítését leírják., d) ...hogy a rendszert alkotó elemek jellemzőit és viszonyait leírják.;;a) …minden állapotban minden bemenethez tartozik legalább egy átmenet.;b) …maga is állapotgép., d) …olyan állapotátmeneteket tartalmaz, amelyek során mindig mindkét komponens ál-lapotgépben is végrehajtódik egy-egy átmenet.;b) …feladata, hogy a rendszer működését, változását leírja.;a) …az elemi tevékenységek időbeli kiterjedéssel rendelkeznek., b) …az elemi tevékenységek lefolyását, belső lépéseit (az adott folyamatmodellben) nem modellezzük., c) …ciklusokat decision és merge vezérlési elemekkel tudunk létrehozni.;a) …tipikusan áttekinthetőbbek, de nem csak jólstrukturált modell lehet helyes., d) …pontosan egy belépési és egy kilépési ponttal rendelkeznek.;b) …az egyes döntési ágakon tetszőleges számú lépés következhet., a) …a döntés után pontosan egy ág kerül végrehajtásra.
5.17.2017 11:08:48;0;;;;;;;;;;
5.17.2017 11:11:01;0;b) …nem mindig foglalkozik az egész modellezett rendszerrel, hanem csak egy ré-szével., a) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …lehet fizikai vagy logikai., a) …mindig növeli a modellelemek számát.;a) ...hogy a rendszer belső felépítését leírják., d) ...hogy a rendszert alkotó elemek jellemzőit és viszonyait leírják.;a) …mindig legalább egy állapotból áll., b) … mindig kizárólagos és teljes., d) …tipikusan diszkrét.;;a) …absztrakcióval visszavetíthető az egyik komponens állapotgépre., b) …maga is állapotgép.;b) …feladata, hogy a rendszer működését, változását leírja.;a) …az elemi tevékenységek időbeli kiterjedéssel rendelkeznek., b) …az elemi tevékenységek lefolyását, belső lépéseit (az adott folyamatmodellben) nem modellezzük., c) …ciklusokat decision és merge vezérlési elemekkel tudunk létrehozni.;a) …tipikusan áttekinthetőbbek, de nem csak jólstrukturált modell lehet helyes., d) …pontosan egy belépési és egy kilépési ponttal rendelkeznek.;b) …az egyes döntési ágakon tetszőleges számú lépés következhet., a) …a döntés után pontosan egy ág kerül végrehajtásra.
5.17.2017 11:11:22;0;b) …nem mindig foglalkozik az egész modellezett rendszerrel, hanem csak egy ré-szével., a) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …lehet fizikai vagy logikai., a) …mindig növeli a modellelemek számát.;a) ...hogy a rendszer belső felépítését leírják., d) ...hogy a rendszert alkotó elemek jellemzőit és viszonyait leírják.;b) … mindig kizárólagos és teljes., d) …tipikusan diszkrét.;;a) …absztrakcióval visszavetíthető az egyik komponens állapotgépre., b) …maga is állapotgép.;b) …feladata, hogy a rendszer működését, változását leírja.;a) …az elemi tevékenységek időbeli kiterjedéssel rendelkeznek., b) …az elemi tevékenységek lefolyását, belső lépéseit (az adott folyamatmodellben) nem modellezzük., c) …ciklusokat decision és merge vezérlési elemekkel tudunk létrehozni.;a) …tipikusan áttekinthetőbbek, de nem csak jólstrukturált modell lehet helyes., d) …pontosan egy belépési és egy kilépési ponttal rendelkeznek.;b) …az egyes döntési ágakon tetszőleges számú lépés következhet., a) …a döntés után pontosan egy ág kerül végrehajtásra.
5.17.2017 11:33:05;0;b) …nem mindig foglalkozik az egész modellezett rendszerrel, hanem csak egy ré-szével., a) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …lehet fizikai vagy logikai., d) …egyfajta finomítás.;a) ...hogy a rendszer belső felépítését leírják., d) ...hogy a rendszert alkotó elemek jellemzőit és viszonyait leírják.;c) … mindig véges méretű., d) …tipikusan diszkrét.;b) …nem tartalmaz spontán átmenetet.;a) …absztrakcióval visszavetíthető az egyik komponens állapotgépre., b) …maga is állapotgép., d) …olyan állapotátmeneteket tartalmaz, amelyek során mindig mindkét komponens ál-lapotgépben is végrehajtódik egy-egy átmenet.;a) …alatt mindig állapotgépet értünk., b) …feladata, hogy a rendszer működését, változását leírja.;a) …az elemi tevékenységek időbeli kiterjedéssel rendelkeznek., b) …az elemi tevékenységek lefolyását, belső lépéseit (az adott folyamatmodellben) nem modellezzük., c) …ciklusokat decision és merge vezérlési elemekkel tudunk létrehozni.;a) …tipikusan áttekinthetőbbek, de nem csak jólstrukturált modell lehet helyes., d) …pontosan egy belépési és egy kilépési ponttal rendelkeznek.;a) …a döntés után pontosan egy ág kerül végrehajtásra.
