Időbélyeg;Pontszám;"1.	Egy numerikus változó…";"2.	Egy (nem túlterhelt) rendszer kihasználtsága pontosan akkor maximális…";"3.	A Little-törvény…";"4.	Ha a folyamatmodellt jólstrukturáltnak építjük, ezzel teljesen kizárható…";"5.	A holtpont (deadlock)…";"6.	Végtelen ciklus (livelock) …";"7.	Egy (funkcionális) tesztesetnek mindig része…";"8.	Egy tesztorákulum…";"9.	Teszteléskor a 100%-os fedettség …";"10.	A modellellenőrzés (egybeírva, tehát nem a „modellek ellenőrzése”)"
5.17.2017 1:37:40;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;;;;;;;;;
5.17.2017 1:39:41;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;b) …a nemdeterminisztikus viselkedés., c) …a nem teljesen specifikált viselkedés.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., b) …a tesztelés egyik fajtája., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 9:12:09;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek.;;;;;;;;;
5.17.2017 10:14:29;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 10:28:55;0;;;;;;;;;;
5.17.2017 10:43:18;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet., d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 10:48:25;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., d) …amikor a rendszer egyensúlyi állapotban van.;a) …tanult alakja egyensúlyi állapotban érvényes csak.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet., d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 11:09:49;0;;;;;;;;;;
5.17.2017 11:23:19;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével., d) …amikor a rendszer egyensúlyi állapotban van.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., d) … a végtelen ciklus.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz., d) …minden nemdeterminisztikus modellben szükségszerűen előfordul.;b) …a tesztbemenet;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;
5.17.2017 11:27:07;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …kizárólag csak a folyamatot termináló vezérlési csomópontban jelentkezhet.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
