Időbélyeg;Pontszám;"1.	A modell és a modellezett rendszer viszonya:";"2.	Ha egy rendszernek az M1 modell jó modellje, de az M2 modell nem érvényes rá, akkor…";"3.	A fa tulajdonságú gráf…";"4.	Egy egyszerű állapotgép biztosan determinisztikus, ha…";"5.	Ha M1 állapotgép absztrahálja M2 állapotgépet, akkor…";"6.	Az S1 S2 és S3 állapotterek direkt szorzataként előálló S állapottérnek minden pillanatban…";"7.	Ha az egyik állapotrégió 5 állapotot és 15 átmenetet, a másik régió 4 állapotot és 8 átmenetet tartalmaz, akkor az aszinkron szorzatukként számolt állapotgép további finomítás híján…";"1.	Egy folyamat biztosan jól strukturált, ha…";"9.	Őrfeltételt írhatunk…"
5.17.2017 1:14:22;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;a) …M1 lehet M2 finomítása.;c) …élcímkére szűrve is egy vagy több fa marad.;d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll.;d) … 120 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 1:20:19;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit.;a) …M1 lehet M2 finomítása.;b) …reprezentálhat egy tartalmazási struktúrát.;a) …teljesen specifikált.;…M2 több információt tartalmaz, mint M1.;d) … legfeljebb 1 eleme áll fenn.;d) … 120 átmenetet tartalmaz.;a) … determinisztikus.;a) …állapotgép átmeneteire.
5.17.2017 1:20:21;0;;;;;;;;;
5.17.2017 1:43:17;0;;;;;;;;;
5.17.2017 2:03:17;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;a) …teljesen specifikált., c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;;b) …100 átmenetet tartalmaz.;;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 2:13:25;0;;;;;;;;;a) …típusgráf éleire.
5.17.2017 7:35:10;0;;;;;;;;;
5.17.2017 7:50:15;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát.;c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;a) … legalább 3 eleme fennáll.;d) … 120 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 8:17:05;0;b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;a) …csak irányítatlan kört tartalmazhat, irányított kört nem., b) …reprezentálhat egy tartalmazási struktúrát.;c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;a) …legalább 1 eleme fennáll.;d) … 120 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 8:23:27;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot.;;;;;;;;
