Időbélyeg;Pontszám;"1.	Állapot alapú modellezéskor…";"2.	Két állapot fennállhat egyszerre, ha...";"3.	Két komponens állapotgép aszinkron szorzata…";"4.	A modell…";"5.	Modellek dekompozíciója esetén… ";"6.	A példánygráf… ";"7.	A folyamatmodellben az elemi tevékenység…";"8.	Egy jólstrukturált folyamatmodell egy példányának lefutásakor…";"9.	Őrfeltétel…";"10.	Teljesítménymodellekben…"
5.17.2017 1:24:18;0;a) … absztrakció után továbbra is fennáll a kölcsönös kizárólagosság.;a) ...nem ugyanazon állapottér részei.;a) …maga is állapotgép., d) …absztrakcióval visszavetíthető az egyik komponens állapotgépre.;b) …nem mindig foglalkozik az egész modellezett rendszerrel, csak egy részével., c) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …a része viszony jelentése lehet térbeli tartalmazás (fizikai dekompozíció)., b) …a része viszony jelentése lehet funkció szerinti szétbontás (logikai dekompozíció).;1. opcióa) …csomópontokból és élekből áll.;b) …időbeli kiterjedéssel rendelkezhet, huzamosabb ideig végrehajtás alatt lehet., c) …belső működését, időbeli lefolyását a folyamatmodell nem részletezi., d) …finomítás keretében helyettesíthető egy részfolyamattal, amely a tevékenység végrehajtásának részleteit taglalja.;a) …két tevékenység végrehajtása átlapolódhat, ha azok egy elágazás (Decision-Merge) vezérlési szerkezet különböző ágán vannak., b) …egy párhuzamos blokk (Fork-Join) összes ága ugyanannyisszor hajtódik végre.;a) …szerepelhet a folyamat döntési (Decision) csomópontjáról kimenő ágakon., b) …szerepelhet egy állapotgép állapotátmeneti élein., d) …sérülése esetén az adott viselkedés nem megengedett.;
5.17.2017 8:46:52;0;a) … absztrakció után továbbra is fennáll a kölcsönös kizárólagosság.;c) ...egy kiterjesztett (Harel) állapotgépben egy összetett állapot két külön állapotrégiójában vannak., d) ...a kiterjesztett (Harel) állapotgépben az egyik a másikat tartalmazó összetett állapot.;a) …maga is állapotgép.;b) …nem mindig foglalkozik az egész modellezett rendszerrel, csak egy részével., c) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert., d) …lehet pontosabb, részletesebb a valódi rendszernél.;a) …a része viszony jelentése lehet térbeli tartalmazás (fizikai dekompozíció)., b) …a része viszony jelentése lehet funkció szerinti szétbontás (logikai dekompozíció).;c) …elemei a típusuk által megengedett módon kapcsolódhatnak.;c) …belső működését, időbeli lefolyását a folyamatmodell nem részletezi., d) …finomítás keretében helyettesíthető egy részfolyamattal, amely a tevékenység végrehajtásának részleteit taglalja.;b) …egy párhuzamos blokk (Fork-Join) összes ága ugyanannyisszor hajtódik végre., d) …ha egy elemi tevékenység végrehajtása befejeződik, mindig azonnal indul a szekvenciában következő tevékenység.;a) …szerepelhet a folyamat döntési (Decision) csomópontjáról kimenő ágakon., b) …szerepelhet egy állapotgép állapotátmeneti élein., c) …figyelembe vehet változókat, más állapotrégiót, külső információt.;b) …ha a rendszer vergődésbe jut, az egységnyi idő alatt kiszolgált kérések száma kisebb lehet az érkezési rátánál., c) …ha egy erőforrás kizárólagos, az egyszerre csak egy tevékenységet hajthat végre.
5.17.2017 9:49:18;0;;;;b) …nem mindig foglalkozik az egész modellezett rendszerrel, csak egy részével., c) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;;;;;;
5.17.2017 9:49:23;0;;;;;;;;;;
5.17.2017 10:10:25;0;a) …minden állapothalmaz egyben állapottér is., c) …csak akkor lehet teljes egy állapottér, ha több, mint egy eleme van.;;;;;;;;;
5.17.2017 10:12:58;0;a) …minden állapothalmaz egyben állapottér is., a) … absztrakció után továbbra is fennáll a kölcsönös kizárólagosság.;a) ...nem ugyanazon állapottér részei., c) ...egy kiterjesztett (Harel) állapotgépben egy összetett állapot két külön állapotrégiójában vannak.;a) …maga is állapotgép.;d) …lehet pontosabb, részletesebb a valódi rendszernél.;a) …a része viszony jelentése lehet térbeli tartalmazás (fizikai dekompozíció)., b) …a része viszony jelentése lehet funkció szerinti szétbontás (logikai dekompozíció).;1. opcióa) …csomópontokból és élekből áll., c) …elemei a típusuk által megengedett módon kapcsolódhatnak.;;c) …lehet olyan folyamat, mely lefutása során egy Merge (Egyesítés) vezérlési csomópontot hamarabb érint, mint a hozzá tartozó Decision (Döntés) csomópontot.;a) …szerepelhet a folyamat döntési (Decision) csomópontjáról kimenő ágakon., b) …szerepelhet egy állapotgép állapotátmeneti élein.;a) …a stabil működési tartományban az átbocsátás nem nagyobb az átbocsátóképességnél., b) …ha a rendszer vergődésbe jut, az egységnyi idő alatt kiszolgált kérések száma kisebb lehet az érkezési rátánál., d) …ha több erőforráspéldány hajt végre egy tevékenységet, akkor egy erőforrás átlagos kihasználtsága fordítottan arányos az erőforrások számával, ha a többi paraméter változatlan.
5.17.2017 10:13:23;0;c) …csak akkor lehet teljes egy állapottér, ha több, mint egy eleme van.;c) ...egy kiterjesztett (Harel) állapotgépben egy összetett állapot két külön állapotrégiójában vannak.;a) …maga is állapotgép., d) …absztrakcióval visszavetíthető az egyik komponens állapotgépre.;b) …nem mindig foglalkozik az egész modellezett rendszerrel, csak egy részével., c) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;b) …a része viszony jelentése lehet funkció szerinti szétbontás (logikai dekompozíció).;1. opcióa) …csomópontokból és élekből áll., c) …elemei a típusuk által megengedett módon kapcsolódhatnak.;b) …időbeli kiterjedéssel rendelkezhet, huzamosabb ideig végrehajtás alatt lehet., c) …belső működését, időbeli lefolyását a folyamatmodell nem részletezi.;c) …lehet olyan folyamat, mely lefutása során egy Merge (Egyesítés) vezérlési csomópontot hamarabb érint, mint a hozzá tartozó Decision (Döntés) csomópontot., d) …ha egy elemi tevékenység végrehajtása befejeződik, mindig azonnal indul a szekvenciában következő tevékenység.;a) …szerepelhet a folyamat döntési (Decision) csomópontjáról kimenő ágakon., b) …szerepelhet egy állapotgép állapotátmeneti élein.;a) …a stabil működési tartományban az átbocsátás nem nagyobb az átbocsátóképességnél., b) …ha a rendszer vergődésbe jut, az egységnyi idő alatt kiszolgált kérések száma kisebb lehet az érkezési rátánál., c) …ha egy erőforrás kizárólagos, az egyszerre csak egy tevékenységet hajthat végre.
5.17.2017 10:15:44;0;a) …az állapottér kizárólagossága azt jelenti, hogy mindig van fennálló érvényes állapot., a) … absztrakció után továbbra is fennáll a kölcsönös kizárólagosság.;;a) …maga is állapotgép., b) …olyan állapotátmeneteket tartalmaz, amelyek során mindig mindkét komponens állapotgépben is végrehajtódik egy-egy átmenet., c) …nem lehet determinisztikus, mert mindkét komponens állapotgép válthat állapotot.;a) …mindig egy tervezés alatt álló rendszerről szól, sosem a létező valóságról., b) …nem mindig foglalkozik az egész modellezett rendszerrel, csak egy részével., c) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …a része viszony jelentése lehet térbeli tartalmazás (fizikai dekompozíció)., b) …a része viszony jelentése lehet funkció szerinti szétbontás (logikai dekompozíció).;1. opcióa) …csomópontokból és élekből áll., b) …más néven metamodell., c) …elemei a típusuk által megengedett módon kapcsolódhatnak.;b) …időbeli kiterjedéssel rendelkezhet, huzamosabb ideig végrehajtás alatt lehet., d) …finomítás keretében helyettesíthető egy részfolyamattal, amely a tevékenység végrehajtásának részleteit taglalja.;a) …két tevékenység végrehajtása átlapolódhat, ha azok egy elágazás (Decision-Merge) vezérlési szerkezet különböző ágán vannak.;a) …szerepelhet a folyamat döntési (Decision) csomópontjáról kimenő ágakon., b) …szerepelhet egy állapotgép állapotátmeneti élein., d) …sérülése esetén az adott viselkedés nem megengedett.;a) …a stabil működési tartományban az átbocsátás nem nagyobb az átbocsátóképességnél., c) …ha egy erőforrás kizárólagos, az egyszerre csak egy tevékenységet hajthat végre., d) …ha több erőforráspéldány hajt végre egy tevékenységet, akkor egy erőforrás átlagos kihasználtsága fordítottan arányos az erőforrások számával, ha a többi paraméter változatlan.
5.17.2017 10:22:34;0;a) …az állapottér kizárólagossága azt jelenti, hogy mindig van fennálló érvényes állapot.;c) ...egy kiterjesztett (Harel) állapotgépben egy összetett állapot két külön állapotrégiójában vannak.;a) …maga is állapotgép., d) …absztrakcióval visszavetíthető az egyik komponens állapotgépre.;b) …nem mindig foglalkozik az egész modellezett rendszerrel, csak egy részével., c) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …a része viszony jelentése lehet térbeli tartalmazás (fizikai dekompozíció)., b) …a része viszony jelentése lehet funkció szerinti szétbontás (logikai dekompozíció).;1. opcióa) …csomópontokból és élekből áll., c) …elemei a típusuk által megengedett módon kapcsolódhatnak.;b) …időbeli kiterjedéssel rendelkezhet, huzamosabb ideig végrehajtás alatt lehet., c) …belső működését, időbeli lefolyását a folyamatmodell nem részletezi.;c) …lehet olyan folyamat, mely lefutása során egy Merge (Egyesítés) vezérlési csomópontot hamarabb érint, mint a hozzá tartozó Decision (Döntés) csomópontot.;a) …szerepelhet a folyamat döntési (Decision) csomópontjáról kimenő ágakon., b) …szerepelhet egy állapotgép állapotátmeneti élein., c) …figyelembe vehet változókat, más állapotrégiót, külső információt.;b) …ha a rendszer vergődésbe jut, az egységnyi idő alatt kiszolgált kérések száma kisebb lehet az érkezési rátánál.
5.17.2017 10:23:22;0;;;;b) …nem mindig foglalkozik az egész modellezett rendszerrel, csak egy részével., c) …szerepe, hogy bizonyos megfontolásokban helyettesítse a rendszert.;a) …a része viszony jelentése lehet térbeli tartalmazás (fizikai dekompozíció)., b) …a része viszony jelentése lehet funkció szerinti szétbontás (logikai dekompozíció).;1. opcióa) …csomópontokból és élekből áll., c) …elemei a típusuk által megengedett módon kapcsolódhatnak.;;;;
5.17.2017 10:41:31;0;;;;;;;;;;
