Időbélyeg;Pontszám;"1.	Az informatikai rendszer infrastruktúra terhelésének időbeli változása";"2.	A fájlszerver egyensúlyi helyzetében lévő teljesítménymodelljében";"3.	Kizárólagos erőforrás esetén";"1.	A folyamatban egy adott tevékenység vizitációs száma";"5.	A modell statikus vizsgálata";"6.	A tesztelés célja";"7.	Egyetlen folytonos numerikus változó ábrázolására célszerűen alkalmazható";"8.	Egy numerikus változó 55 adatpontból számított középértékei közül";"9.	Egy változó 95 adatpontból számított középértékei közül";"1.	A kódgenerátor"
5.17.2017 1:46:17;0;;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;;;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése, d) a fedettségi értékek kiszámítása;a) a boxplot, b) az oszlopdiagram, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, d) lehet egyszerre több medián érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 8:33:12;0;a) a Zipf-törvénnyel modellezhető jól., b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1., d) az erőforrás kihasználtsága mindig 1.;a) a Zipf-törvény miatt mindig fordítottan arányos a tevékenység átbocsátóképességével;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;d) a fedettségi értékek kiszámítása;a) a boxplot, b) az oszlopdiagram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 10:14:45;0;b) befolyással lehet a rendszer kihasználtságára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;;;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;d) a fedettségi értékek kiszámítása;a) a boxplot, b) az oszlopdiagram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 10:14:57;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;a) a kihasználtság mindig 100%-os., b) a Little-törvény mindig teljesül.;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1., a) az adott pillanatban az erőforrást használó folyamatpéldányok száma mindig pontosan 1., d) az erőforrás kihasználtsága mindig 1.;;;;;;;
5.17.2017 10:28:31;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;a) a kihasználtság mindig 100%-os., b) a Little-törvény mindig teljesül.;;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;;c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell.
5.17.2017 10:28:47;0;;;;;;;;;;
5.17.2017 10:33:00;0;a) a Zipf-törvénnyel modellezhető jól., b) befolyással lehet a rendszer kihasználtságára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;a) a Little-tövény értelmében arányos a tevékenység átbocsátási rátájának és az átlagos végrehajtási idejének szorzatával;a) alkalmazható viselkedésmodellek esetén, a) kereshet hibamintákat a modellben;b) meggyőződni a tesztorákulum működésének helyességéről, c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;b) az oszlopdiagram, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;b) folytonos numerikus változó esetén az átlag közvetlenül leolvasható a boxplotról, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 10:47:24;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül.;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával, d) egyensúlyi helyzetben megegyezik az érkezési rátával;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;b) az oszlopdiagram, c) a hisztogram;b) a medián lehet kisebb, mint a módusz;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 10:57:35;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;;a) a Little-tövény értelmében arányos a tevékenység átbocsátási rátájának és az átlagos végrehajtási idejének szorzatával, c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;;c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;a) inputja lehet szöveges szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 11:20:15;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;;;a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése, c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell.
5.17.2017 11:38:49;0;a) a Zipf-törvénnyel modellezhető jól., b) befolyással lehet a rendszer kihasználtságára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1., a) az adott pillanatban az erőforrást használó folyamatpéldányok száma mindig pontosan 1., d) az erőforrás kihasználtsága mindig 1.;;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;a) a boxplot;a) az átlag lehet kisebb, mint a medián, d) lehet egyszerre több medián érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 11:40:06;0;a) a Zipf-törvénnyel modellezhető jól., b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;a) a boxplot, b) az oszlopdiagram, c) a hisztogram, d) a scatterplot (pontfelhő / pont-pont diagram);a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell.
