Neptun;GO_TO_FIRST_OPTION;RESET_ACTUAL_VALUE;GAME_OVER;PROLONGE;BEEP_IF_OPTION_LIMIT_REACHED;LAST_SECOND_BEEP;ReadyImpl;SetStartPlayerImpl;SetStartTimeImpl;SetBonusTimeImpl;SetMaxTimeImpl;
VKXAFI;false;false;true;false;false;true;false;true;true;true;false;
ZEZFCE;false;false;true;false;false;true;true;true;true;true;false;
PV8AK9;false;true;true;false;true;true;true;true;true;true;false;
FNARVP;false;false;false;true;true;true;true;false;true;true;false;
OH0W8W;false;true;true;false;false;true;true;true;true;true;false;
I90DB4;true;false;true;false;false;true;true;true;true;true;true;
A0OL55;false;true;false;true;false;false;true;true;true;true;false;
BGNJA9;false;true;false;false;false;true;true;true;true;true;false;
I8EJUT;false;true;false;true;true;false;true;false;true;true;true;
M23NV5;false;false;true;false;false;true;true;true;true;true;true;
EDQLIZ;false;true;false;true;true;false;true;false;true;true;true;
F13UNV;false;false;false;false;true;true;true;true;true;true;true;
C66UKS;false;false;false;false;true;true;false;true;true;true;false;
SGVOU1;false;false;true;false;true;false;false;true;true;true;false;
AG6THV;true;false;true;false;true;true;true;false;true;true;true;
I3ZSE1;true;false;false;false;false;true;true;true;true;true;false;
I46RYI;false;true;true;false;false;false;true;true;true;true;false;
CE2W1P;false;false;false;true;true;false;true;false;true;true;false;
PJ4DM7;false;true;true;false;false;true;true;false;true;true;false;
H81S2G;false;false;false;true;false;true;false;false;true;true;false;
OQSZDQ;false;false;false;true;false;true;true;true;true;true;true;
J1CEI3;false;false;false;true;true;true;true;false;true;true;false;
O6E21O;false;false;true;false;false;true;false;true;true;true;true;
BB6JQY;false;false;false;true;false;true;true;false;true;true;true;
QBPXA5;true;false;false;false;true;true;true;false;true;true;false;
DJY1FZ;false;false;true;false;true;true;false;true;true;true;true;
CUTGFQ;false;false;false;true;false;true;false;false;true;true;false;
AW9DZB;false;false;true;false;true;true;false;false;true;true;false;
Z8VFCM;true;false;true;false;true;false;true;false;true;true;true;
KM3B5S;true;false;true;false;true;false;true;true;true;true;true;
OES1HB;false;false;true;false;false;true;false;true;true;true;false;
YPGFIJ;true;false;false;true;true;false;true;true;true;true;false;
BO8Q7P;false;false;false;true;true;false;false;true;true;true;true;
V19RPS;false;true;true;false;true;false;true;false;true;true;false;
QTDFU5;true;false;true;false;true;false;true;true;true;true;false;
KAQ9JC;false;false;true;false;true;false;false;true;true;true;true;
XF0WL5;false;false;false;true;true;true;true;true;true;true;false;
YJ8F2X;false;false;false;true;false;true;true;true;true;true;true;
H7LB3H;false;true;false;true;false;false;true;false;true;true;false;
C8SXJJ;true;false;false;false;false;true;true;true;true;true;false;
MLTYU6;false;false;true;false;false;true;true;true;true;true;false;
RP0GRN;false;false;false;false;true;true;false;true;true;true;false;
LG6O4N;false;true;false;true;true;false;true;true;true;true;false;
FP9W6B;false;false;true;false;true;false;true;true;true;true;true;
U5G21D;false;false;false;true;true;false;false;true;true;true;true;
S4CVUJ;false;false;true;false;true;true;false;false;true;true;true;
F5Z6NH;false;true;false;true;false;false;true;true;true;true;true;
M2WQP4;false;false;false;true;false;false;true;true;true;true;false;
ZMCHI1;false;false;false;true;false;false;true;true;true;true;true;
MFIAU4;true;false;true;false;false;true;true;false;true;true;false;
V5LSRD;false;true;true;false;true;true;true;true;true;true;false;
QL7ZMW;false;false;false;false;true;true;true;true;true;true;false;
IPNBUJ;false;false;true;false;true;true;true;true;true;true;false;
TLY7G8;false;true;false;true;false;false;true;false;true;true;true;
Q16VZ0;true;false;false;true;false;false;true;true;true;true;false;
AJJKFG;false;false;false;true;false;true;true;false;true;true;false;
KUKYQ2;false;false;false;true;false;false;false;true;true;true;false;
