Neptun;Kurzus;HF;PótHF;Bemelegítõ HF;1. Szorgalmi HF;2. Szorgalmi HF;HF Eredõ;HF Extra
A2DWO2;iMSc_G1;30;0;0;0;0;30;0
A32GAQ;G02;30;0;4;0;0;30;4
A40WJK;G09;30;0;0;0;0;30;0
A5YY77;G08;30;0;0;0;0;30;0
A72CSN;iMSc_G2;28;0;4;0;0;28;4
A8P98V;G02;0;0;4;0;0;0;4
A8ZQEE;iMSc_G1;30;0;4;2;10;30;16
A92302;G04;30;0;4;0;0;30;4
AEP0TG;G06;30;0;4;0;0;30;4
AER5T5;G17;30;0;4;0;0;30;4
AGGRW2;G07;30;0;4;0;10;30;14
AI7U5W;G02;0;0;0;0;0;0;0
AJWK30;G13;30;0;0;0;0;30;0
AKLFPS;G09;30;0;4;0;0;30;4
AKO81J;G14;30;0;0;0;0;30;0
AN6KF9;G06;28;0;4;0;0;28;4
AOWW6S;G01;30;0;0;0;0;30;0
AQJ8UE;G13;27;0;4;0;0;27;4
AQP133;G01;0;0;0;0;0;0;0
ARKC93;G14;28;0;4;0;0;28;4
AUNTE2;G11;26;0;0;0;0;26;0
AWBJX4;G03;30;0;0;0;0;30;0
B1XSXZ;G07;28;0;0;0;0;28;0
B5HI5B;G15;28;0;0;0;0;28;0
B7285V;G15;30;0;4;0;0;30;4
B7LK3A;G01;30;0;0;0;0;30;0
B8NKM3;G09;30;0;4;0;0;30;4
B9WGJD;G07;30;0;0;0;0;30;0
BAEI7J;G04;30;0;4;0;10;30;14
BBK7NG;G15;30;0;4;0;0;30;4
BFLOHU;G08;0;26;0;0;0;26;0
BHV7RV;G09;26;0;4;0;0;26;4
BHVAZ0;G02;0;0;0;0;0;0;0
BI3ULX;G04;30;0;4;0;10;30;14
BJH8B9;G03;28;0;4;0;0;28;4
BKS241;G03;30;0;0;0;0;30;0
BKY5WO;G14;30;0;4;0;0;30;4
BMHVMY;G03;30;0;0;0;0;30;0
BQARI2;G14;30;0;4;0;0;30;4
BSHTCX;G07;30;0;4;0;10;30;14
BSOY8Q;iMSc_G2;30;0;0;0;10;30;10
BTZ7OW;G14;30;0;4;0;0;30;4
BVNC89;G02;28;0;0;0;0;28;0
BVU4HN;G14;0;0;0;0;0;0;0
BVZEUB;G01;30;0;0;0;0;30;0
BYLE5N;G16;29;0;0;0;0;29;0
BZH2F0;G02;30;0;4;0;0;30;4
C0C2BE;G16;30;0;4;0;0;30;4
