Neptun;Kurzus;1. gyakorlat;2. gyakorlat;3. gyakorlat;4. gyakorlat;5. gyakorlat;6. gyakorlat;Hiányzások;Gyakorlat pontok
A2DWO2;iMSc_G1;0;0;0;0;0;0;0;0
A32GAQ;G02;0;0;0;0;0;0;0;0
A40WJK;G09;NJM;0;1;0;0;1;1;2
A5YY77;G08;NJM;NJM;0;0;0;0;2;0
A72CSN;iMSc_G2;0;2;1;0;0;0;0;3
A8P98V;G02;0;0;NJM;0;0;0;1;0
A8ZQEE;iMSc_G1;0;0;0,5;0,5;0;NJM;1;1
A92302;G04;0;1;0;1;0;0;0;2
AEP0TG;G06;0;0;0;0;0;0;0;0
AER5T5;G17;0;1;2;2;0;2;0;7
AGGRW2;G07;0;1;0;0;0;1;0;2
AI7U5W;G02;NJM;NJM;NJM;NJM;0;NJM;5;0
AJWK30;G13;0;0;NJM;0;0;NJM;2;0
AKLFPS;G09;0;0;2;1,5;0;1;0;4,5
AKO81J;G14;0;1;NJM;1;0;0;1;2
AN6KF9;G06;0;0;0;1;0;0;0;1
AOWW6S;G01;0;0;0;0;0;0;0;0
AQJ8UE;G13;0;0,5;0;0;0;0,5;0;1
AQP133;G01;0;0;NJM;1;0;NJM;2;1
ARKC93;G14;0;0;1,5;NJM;0;0,5;1;2
AUNTE2;G11;0;0;0;0;0;NJM;1;0
AWBJX4;G03;0;1;0;0;0;NJM;1;1
B1XSXZ;G07;0;0;0;0;0;NJM;1;0
B5HI5B;G15;0;1;1;1;0;0;0;3
B7285V;G15;0;1;1;0;0;1;0;3
B7LK3A;G01;0;0;NJM;0;0;0;1;0
B8NKM3;G09;0;0;1;NJM;0;1;1;2
B9WGJD;G07;0;0;0;1;0;2;0;3
BAEI7J;G04;0;0,5;0,5;0;0;1;0;2
BBK7NG;G15;0;1;2;2;0;1;0;6
BFLOHU;G08;0;0,5;0,5;0;0;1;0;2
BHV7RV;G09;0;1;1;0;0;NJM;1;2
BHVAZ0;G02;0;NJM;NJM;0;0;0;2;0
BI3ULX;G04;0;2;0;1;0;NJM;1;3
BJH8B9;G03;0;0;0,5;0;0;NJM;1;0,5
BKS241;G03;0;2;1,5;0;0;NJM;1;3,5
BKY5WO;G14;0;0,5;1,5;NJM;0;0;1;2
BMHVMY;G03;0;0;0;0;0;NJM;1;0
BQARI2;G14;0;0;1,5;NJM;0;NJM;2;1,5
BSHTCX;G07;0;1,5;0;0;0;1;0;2,5
BSOY8Q;iMSc_G2;0;1;0;0;0;1,5;0;2,5
BTZ7OW;G14;0;1;1;0;0;0;0;2
BVNC89;G02;0;0,5;0;1;0;NJM;1;1,5
BVU4HN;G14;0;NJM;NJM;0;0;0;2;0
BVZEUB;G01;0;2;NJM;0;0;1;1;3
BYLE5N;G16;0;0;1,5;0;0;0;0;1,5
BZH2F0;G02;NJM;0;0;NJM;0;0;2;0
C0C2BE;G16;0;0;0;0,5;0;1;0;1,5
C29106;G10;0;2;1,5;0;0;2;0;5,5
C3N8FY;G03;0;0,5;0;NJM;0;0;1;0,5
C81KXC;G03;0;0;0,5;NJM;0;1;1;1,5
CAXOZ9;G16;0;0;0,5;0;0;2;0;2,5
CCA2VH;G03;0;1;0,5;1;0;0;0;2,5
CDQUPJ;G12;0;1;0;0;0;NJM;1;1
CEJWKB;G01;0;2;NJM;1;0;0;1;3
CFIPVY;G02;NJM;0;0;0;0;NJM;2;0
CIA6TH;G01;0;0;2;1;0;2;0;5
CILZ0O;G05;0;1,5;0,5;1;0;0,5;0;3,5
CJP1ZL;iMSc_G1;0;0;0;NJM;0;0,5;1;0,5
CJXKUS;G05;0;0;1;1;0;0,5;0;2,5
CLFYCR;G15;NJM;NJM;NJM;NJM;0;NJM;5;0
CLR1FA;G03;0;0;0;0;0;0;0;0
CLTWFY;G14;0;0;0,5;0;0;0;0;0,5
CMEB33;G10;0;2;1,5;2;0;2;0;7,5
CMGOKI;G12;0;0;0;0;0;1;0;1
CP6OG3;G05;0;1,5;1;1,5;0;0;0;4
CPL61E;G06;0;0;0;0,5;0;0;0;0,5
CSK7KO;G11;0;2;0;0;0;NJM;1;2
CTS3AJ;G08;0;1;0;NJM;0;0;1;1
CUBUG1;G17;0;0;NJM;0;0;NJM;2;0
CW1TIZ;G08;0;1,5;NJM;0;0;2;1;3,5
CX55PP;G15;0;1;2;2;0;1,5;0;6,5
CX9K0A;G09;0;2;1,5;2;0;NJM;1;5,5
CY3OQ6;G05;0;0,5;0;0;0;0;0;0,5
CY89P2;G13;0;0;NJM;0;0;0;1;0
CYLXT3;G11;0;NJM;0;0;0;0;1;0
D0E6V0;G09;NJM;0;0;0;0;NJM;2;0
D3GAU7;G16;NJM;0,5;1,5;2;0;2;1;6
D4ZA0M;G06;0;0;0,5;0,5;0;0,5;0;1,5
D62NC9;G12;0;0;NJM;0;0;1;1;1
D665Y5;G16;0;0;2;0,5;0;NJM;1;2,5
D8W033;G07;0;0,5;0;0;0;NJM;1;0,5
D9C4M4;G09;NJM;NJM;NJM;NJM;0;NJM;5;0
DASGYJ;G10;0;0;0;NJM;0;NJM;2;0
DC0541;iMSc_G1;0;0;0;0;0;0,5;0;0,5
DCXSZ0;G03;0;0;0,5;0;0;0;0;0,5
DDD9FC;G03;0;0;0;0;0;0;0;0
DDIDNG;G07;0;0;0;0;0;NJM;1;0
DFBIT8;G12;0;2;0;NJM;0;1;1;3
DJV03W;G15;0;0;NJM;NJM;0;0;2;0
DKI2E3;G01;0;1,5;2;1;0;2;0;6,5
DKILK6;G06;0;1;0;1,5;0;NJM;1;2,5
DONTTR;G15;0;NJM;NJM;0;0;0;2;0
DQ7OKD;G15;0;1;2;1;0;1;0;5
DQJDDT;G14;0;0;1,5;0;0;0;0;1,5
DRPKZE;G01;0;NJM;2;0;0;0;1;2
DSPL7X;iMSc_G1;0;0;0;0;0;NJM;1;0
DT8CE1;G04;0;0;0;1,5;0;NJM;1;1,5
DVI0L6;G01;0;2;NJM;1;0;0,5;1;3,5
DXD80O;G06;0;0,5;0;2;0;0;0;2,5
DXEXVR;G16;0;1;2;2;0;NJM;1;5
DYNVY4;G14;NJM;0;0;1;0;NJM;2;1
E0HJQL;G16;0;0;1,5;1;0;1,5;0;4
E0Z7SL;G04;0;0;NJM;NJM;0;0;2;0
E4P6FN;G08;0;0;0;0;0;NJM;1;0
E4RZR9;G08;0;0;NJM;0;0;0;1;0
E557KI;G01;0;0,5;2;1;0;1;0;4,5
E5V8FJ;G12;0;0;NJM;0;0;0;1;0
E86MXM;G06;0;0;0,5;0,5;0;NJM;1;1
